City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Camaqua,BR,2020-01-04 22:30:01,-30.85,-51.81,66.52,84,29,5.41
276,Padang,ID,2020-01-04 22:30:02,-0.92,100.36,69.58,89,85,5.99
277,Muroto,JP,2020-01-04 22:30:02,33.37,134.14,46.4,49,75,12.75
278,Varhaug,NO,2020-01-04 22:30:02,58.61,5.65,41.0,58,75,3.36
279,Kologriv,RU,2020-01-04 22:30:02,58.83,44.31,27.37,96,98,7.56
280,Goure,NE,2020-01-04 22:30:03,13.98,10.27,62.01,29,37,11.01
281,Nuuk,GL,2020-01-04 22:30:03,64.17,-51.74,23.0,85,100,10.29
282,Alta Floresta,BR,2020-01-04 22:27:00,-9.87,-56.08,84.2,74,40,2.24
283,Valparai,IN,2020-01-04 22:30:03,10.33,76.96,78.8,88,20,2.35
284,Ancud,CL,2020-01-04 22:30:03,-41.87,-73.83,60.8,55,12,8.05
285,Nome,US,2020-01-04 22:30:04,30.04,-94.42,68.0,34,1,6.93
286,Norman Wells,CA,2020-01-04 22:26:51,65.28,-126.83,-18.4,68,75,6.93
287,Kainantu,PG,2020-01-04 22:30:04,-6.29,145.87,74.68,68,88,1.19
288,Villa Corzo,MX,2020-01-04 22:30:05,16.19,-93.27,71.6,56,40,23.04
289,Sao Joao Da Barra,BR,2020-01-04 22:26:25,-21.64,-41.05,78.8,83,75,6.93
290,Touros,BR,2020-01-04 22:27:12,-5.2,-35.46,80.6,74,20,10.29
291,Bukama,CD,2020-01-04 22:30:05,-9.2,25.85,69.37,98,100,2.42
292,Beloha,MG,2020-01-04 22:27:06,-25.17,45.06,73.22,85,0,13.18
293,Yar-Sale,RU,2020-01-04 22:26:21,66.83,70.83,28.74,95,100,15.77
294,Vostok,RU,2020-01-04 22:30:06,46.45,135.83,-5.93,96,100,4.52
295,Chunoyar,RU,2020-01-04 22:30:06,57.45,97.32,6.8,93,90,5.32
296,Suntar,RU,2020-01-04 22:30:06,62.16,117.65,-4.34,99,91,4.52
297,Belle Fourche,US,2020-01-04 22:28:50,44.67,-103.85,54.0,27,1,25.28
298,Vila Velha,BR,2020-01-04 22:30:06,-3.71,-38.6,86.0,69,20,5.82
299,Eureka,US,2020-01-04 22:30:07,40.8,-124.16,55.99,66,1,10.29
300,Artigas,BR,2020-01-04 22:30:07,-30.4,-56.46,74.75,57,24,8.61
301,San Carlos De Bariloche,AR,2020-01-04 22:30:07,-41.13,-71.31,69.8,53,0,23.04
302,Udachnyy,RU,2020-01-04 22:25:29,66.42,112.4,-20.2,75,0,4.47
