City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
184,184,Vallenar,CL,2020-01-05 06:15:51,-28.58,-70.76,54.0,96,0,1.16,clear sky,0.0,0.0
185,185,Huarmey,PE,2020-01-05 06:15:37,-10.07,-78.15,70.23,75,100,2.37,overcast clouds,0.0,0.0
186,186,Coihueco,CL,2020-01-05 06:15:52,-36.63,-71.83,52.2,68,9,12.12,clear sky,0.0,0.0
187,187,Cherskiy,RU,2020-01-05 06:15:52,68.75,161.3,-2.25,55,83,7.99,broken clouds,0.0,0.0
188,188,Damietta,EG,2020-01-05 06:15:52,31.42,31.81,50.0,76,0,16.11,clear sky,0.0,0.0
189,189,Denpasar,ID,2020-01-05 06:12:39,-8.65,115.22,87.8,79,75,11.41,broken clouds,0.0,0.0
190,190,Guarapari,BR,2020-01-05 06:15:34,-20.67,-40.5,80.01,83,75,11.41,broken clouds,0.0,0.0
191,191,Opuwo,,2020-01-05 06:15:53,-18.06,13.84,65.23,85,100,4.83,light rain,1.13,0.0
192,192,Nuuk,GL,2020-01-05 06:13:27,64.17,-51.74,21.2,85,100,6.93,light snow,0.0,0.0
193,193,Lata,IN,2020-01-05 06:15:53,30.78,78.62,15.19,45,35,5.19,scattered clouds,0.0,0.0
194,194,Srednekolymsk,RU,2020-01-05 06:15:53,67.46,153.71,2.25,52,46,4.34,scattered clouds,0.0,0.0
195,195,Sao Joao Da Barra,BR,2020-01-05 06:15:54,-21.64,-41.05,73.15,96,100,2.26,moderate rain,11.5,0.0
196,196,Hasaki,JP,2020-01-05 06:15:54,35.73,140.83,52.0,31,20,16.11,few clouds,0.0,0.0
197,197,Aklavik,CA,2020-01-05 06:15:54,68.22,-135.01,-23.8,67,40,4.7,scattered clouds,0.0,0.0
198,198,Manggar,ID,2020-01-05 06:15:55,-2.88,108.27,82.44,79,100,22.03,light rain,2.88,0.0
199,199,Klaksvik,FO,2020-01-05 06:15:55,62.23,-6.59,46.4,93,100,2.24,light rain,2.75,0.0
200,200,Avera,US,2020-01-05 06:15:55,33.19,-82.53,44.6,52,1,10.29,clear sky,0.0,0.0
201,201,Hofn,IS,2020-01-05 06:15:55,64.25,-15.21,43.84,77,78,35.99,light rain,0.38,0.0
